Time (days),pir2 (upwelling)
93.36041667,278.8
93.36111111,278.5
93.36180556,278.3
93.3625,278.2
93.36319444,278.2
93.36388889,278.4
93.36458333,278.7
93.36527778,278.7
93.36597222,278.8
93.36666667,278.7
93.36736111,278.9
93.36805556,278.7
93.36875,278.7
93.36944444,279.1
93.37013889,278.8
93.37083333,279.2
93.37152778,279.2
93.37222222,279.5
93.37291667,279.6
93.37361111,280
93.37430556,280.1
93.375,279.8
93.37569444,279.4
93.37638889,279.9
93.37708333,279.4
93.37777778,279.5
93.37847222,280
93.37916667,279.7
93.37986111,279.9
93.38055556,280.1
93.38125,280.4
93.38194444,281.1
93.38263889,281.5
93.38333333,281.3
93.38402778,281.2
93.38472222,281
93.38541667,280.6
93.38611111,280.5
93.38680556,280.8
93.3875,281
93.38819444,281.6
93.38888889,281.2
93.38958333,280.3
93.39027778,280.3
93.39097222,280.5
93.39166667,280.8
93.39236111,280.2
93.39305556,280
93.39375,279.6
93.39444444,279.4
93.39513889,278.6
93.39583333,278.5
93.39652778,278.1
93.39722222,278.6
93.39791667,279.2
93.39861111,278.8
93.39930556,279
93.4,278.6
93.40069444,278.1
93.40138889,278.4
93.40208333,278.9
93.40277778,278.5
93.40347222,278.9
93.40416667,279.9
93.40486111,279.1
93.40555556,278.4
93.40625,277.9
93.40694444,278.2
93.40763889,278.4
93.40833333,277.3
93.40902778,277.2
93.40972222,277.9
93.41041667,277.9
93.41111111,278
93.41180556,278.4
93.4125,277.9
93.41319444,278.2
93.41388889,279.3
93.41458333,279.7
93.41527778,279.1
93.41597222,278.6
93.41666667,279
93.41736111,279.7
93.41805556,278.7
93.41875,277.9
93.41944444,278.2
93.42013889,277.6
93.42083333,277.8
93.42152778,277.1
93.42222222,277.5
93.42291667,278.1
93.42361111,278.2
93.42430556,278
93.425,278.2
93.42569444,278.1
93.42638889,278.6
93.42708333,279.6
93.42777778,279.5
93.42847222,280.1
93.42916667,280.4
93.42986111,280.3
93.43055556,279.9
93.43125,279.6
93.43194444,279.4
93.43263889,278.7
93.43333333,279.2
93.43402778,279
93.43472222,279.4
93.43541667,279.7
93.43611111,280
93.43680556,279.8
93.4375,279.7
93.43819444,279.6
93.43888889,280
93.43958333,280.2
93.44027778,280
93.44097222,280.3
93.44166667,279.1
93.44236111,280
93.44305556,279.4
93.44375,279.3
93.44444444,280.3
93.44513889,281.2
93.44583333,281.6
93.44652778,281
93.44722222,281.1
93.44791667,281.5
93.44861111,281.3
93.44930556,280.9
93.45,280.5
93.45069444,280.1
93.45138889,280
93.45208333,280.2
93.45277778,280.5
93.45347222,279.6
93.45416667,280.4
93.45486111,281.1
93.45555556,281.4
93.45625,281.5
93.45694444,280.9
93.45763889,280.6
93.45833333,281.4
93.45902778,282.1
93.45972222,281.8
93.46041667,281.4
93.46111111,282.5
93.46180556,282.2
93.4625,280.9
93.46319444,281.4
93.46388889,281.3
93.46458333,280.9
93.46527778,280.9
93.46597222,280.5
93.46666667,281.2
93.46736111,281.8
93.46805556,281.8
93.46875,282.2
93.46944444,282.4
93.47013889,282.2
93.47083333,283.1
93.47152778,283.5
93.47222222,283.1
93.47291667,282.2
93.47361111,281.9
93.47430556,282.1
93.475,279.9
93.47569444,280.2
93.47638889,279.8
93.47708333,279.2
93.47777778,279.8
93.47847222,281.3
93.47916667,280.9
93.47986111,279.9
93.48055556,279.5
93.48125,279.3
93.48194444,279.6
93.48263889,279.6
93.48333333,280.2
93.48402778,279.6
93.48472222,279.8
93.48541667,281.2
93.48611111,282.4
93.48680556,282.9
93.4875,281.5
93.48819444,281.7
93.48888889,280.8
93.48958333,282.1
93.49027778,282.5
93.49097222,282.7
93.49166667,282.2
93.49236111,280.9
93.49305556,280.6
93.49375,281.6
93.49444444,280.4
93.49513889,280.7
93.49583333,281
93.49652778,280.9
93.49722222,280.1
93.49791667,281.7
93.49861111,283
93.49930556,284.3
93.5,285.2
93.54166667,279.8
93.58333333,278
93.625,278.9
93.66666667,278.1
93.70833333,278.4
93.75,276.2
93.79166667,271.2
93.83333333,272.2
93.875,270.8
93.91666667,263.2
93.95833333,263.9
94,258.1
94.04166667,258.1
94.08333333,257.3
94.125,255.5
94.16666667,255.2
94.20833333,255.3
94.25,254.8
94.29166667,262
94.33333333,272.4
94.375,280.9
94.41666667,281.7
94.45833333,280
94.5,282.6
94.54166667,284.9
94.58333333,286.1
94.625,289.1
94.66666667,300.6
94.70833333,291.3
94.75,282.7
94.79166667,275.3
94.83333333,270.3
94.875,268.7
94.91666667,270
94.95833333,267.7
95,264.5
95.04166667,262.7
95.08333333,262.3
95.125,261.4
95.16666667,259.9
95.20833333,259.3
95.25,259.4
95.29166667,266.8
95.33333333,281.3
95.375,292.3
95.41666667,293.1
95.45833333,293.4
95.5,293.4
95.54166667,295
95.58333333,298.6
95.625,303.1
95.66666667,307.7
95.70833333,306.8
95.75,297.2
95.79166667,289.6
95.83333333,286.6
95.875,284.9
95.91666667,282.6
95.95833333,284.9
96,286.5
96.04166667,289.8
96.08333333,291.3
96.125,290.3
96.16666667,288.8
96.20833333,286.8
96.25,286.5
96.29166667,287.9
96.33333333,290.7
96.375,292.4
96.41666667,293.8
96.45833333,296.9
96.5,299.4
96.54166667,302.2
96.58333333,304.3
96.625,299.4
96.66666667,298.2
96.70833333,298.1
96.75,296.3
96.79166667,294.7
96.83333333,294.8
96.875,293.8
96.91666667,291.6
96.95833333,291.7
97,290.6
97.04166667,289.9
97.08333333,286.8
97.125,282.7
97.16666667,279.9
97.20833333,283.1
97.25,283.3
97.29166667,286.8
97.33333333,288.5
97.375,290.1
97.41666667,290.4
97.45833333,290.7
97.5,290.2
97.54166667,293
97.58333333,289
97.625,289.5
97.66666667,285.9
97.70833333,282.6
97.75,280
97.79166667,274.6
97.83333333,274.7
97.875,274
97.91666667,272.9
97.95833333,267.9
98,263.9
98.04166667,262.7
98.08333333,261.5
98.125,262
98.16666667,260.4
98.20833333,256.8
98.25,258.3
98.29166667,260.4
98.33333333,264.6
98.375,269
98.41666667,271.9
98.45833333,272.2
98.5,274.2
98.54166667,275.5
98.58333333,275.2
98.625,279.3
98.66666667,284.5
98.70833333,273.1
98.75,271.1
98.79166667,263.8
98.83333333,268.9
98.875,260.9
98.91666667,261
98.95833333,259.5
99,253.1
99.04166667,251.6
99.08333333,250.8
99.125,251
99.16666667,250.9
99.20833333,252.1
99.25,257.5
99.29166667,265
99.33333333,269.9
99.375,277.2
99.41666667,278.9
99.45833333,279.1
99.5,280
99.54166667,283
99.58333333,284.7
99.625,287.9
99.66666667,301.1
99.70833333,295.4
99.75,279.8
99.79166667,271.4
99.83333333,267.9
99.875,265.2
99.91666667,266.1
99.95833333,266.6
100,265.6
100.0416667,264.4
100.0833333,261.7
100.125,265.1
100.1666667,266.3
100.2083333,266.2
100.25,265.6
100.2916667,267.2
100.3333333,274.7
100.375,283.4
100.4166667,285.8
100.4583333,287.5
100.5,288.8
100.5416667,289.7
100.5833333,288.5
100.625,289.5
100.6666667,292.4
100.7083333,286.4
100.75,284
100.7916667,282.7
100.8333333,280.2
100.875,284
100.9166667,283.5
100.9583333,283.1
101,283.9
101.0416667,286.4
101.0833333,287.2
101.125,287.2
101.1666667,287.3
101.2083333,287.9
101.25,288.4
101.2916667,285.4
101.3333333,285.9
101.375,287.4
101.4166667,288.5
101.4583333,288.6
101.5,293.2
101.5416667,291
101.5833333,288.8
101.625,290.3
101.6666667,294.6
101.7083333,288.4
101.75,284.4
101.7916667,281.3
101.8333333,281.1
101.875,281.8
101.9166667,280.6
101.9583333,278.7
102,276.7
102.0416667,275.5
102.0833333,273.2
102.125,272.2
102.1666667,270.8
102.2083333,270.3
102.25,271
102.2916667,273.8
102.3333333,275.7
102.375,279.5
102.4166667,276.5
102.4583333,278.7
102.5,280.2
102.5416667,281.8
102.5833333,285.9
102.625,288.2
102.6666667,289.8
102.7083333,285.8
102.75,281.8
102.7916667,282.3
102.8333333,283
102.875,284.2
102.9166667,285
102.9583333,284.4
103,284.5
103.0416667,284.1
103.0833333,281.5
103.125,282.6
103.1666667,280.4
103.2083333,279.7
103.25,280.6
103.2916667,282.6
103.3333333,285.8
103.375,289.5
103.4166667,289.4
103.4583333,293.9
103.5,299.6
103.5416667,297.2
103.5833333,294.5
103.625,290.8
103.6666667,288.3
103.7083333,286.9
103.75,286
103.7916667,280.8
103.8333333,276.1
103.875,278.3
103.9166667,277.6
103.9583333,272.9
104,272.1
104.0416667,269.3
104.0833333,261.4
104.125,259.8
104.1666667,261.1
104.2083333,261.9
104.25,258.2
104.2916667,264
104.3333333,273.4
104.375,283
104.4166667,286.4
104.4583333,287.4
104.5,287.4
104.5416667,289.8
104.5833333,296.7
104.625,301.8
104.6666667,308.2
104.7083333,302.2
104.75,296.3
104.7916667,287.6
104.8333333,282.5
104.875,281.7
104.9166667,283.2
104.9583333,283.2
105,284.5
105.0416667,285.2
105.0833333,284.3
105.125,284.1
105.1666667,287.8
105.2083333,280.9
105.25,278.6
105.2916667,283.4
105.3333333,297.7
105.375,307.1
105.4166667,307.8
105.4583333,307.1
105.5,307.7
105.5520833,308.1
105.5625,307.9
105.5729167,307.7
105.5833333,307.6
105.59375,308.7
105.6041667,308.9
105.6145833,309.8
105.625,308.9
105.6354167,311.1
105.6458333,311.2
105.65625,311.4
105.6666667,311
105.6770833,308.6
105.6875,307.7
105.6979167,307.4
105.7083333,307.4
105.71875,309.2
105.7291667,308.7
105.7395833,307.2
105.75,306.3
105.7604167,305.8
105.7708333,305.4
105.78125,305.2
105.7916667,304.6
105.8020833,304.8
105.8125,304.7
105.8229167,304.6
105.8333333,304.4
105.84375,304.8
105.8541667,304.9
105.8645833,305
105.875,304.5
105.8854167,304.9
105.8958333,304.2
105.90625,304.3
105.9166667,304.4
105.9270833,305.4
105.9375,305.3
105.9479167,305.1
105.9583333,305.2
105.96875,305.1
105.9791667,304.6
105.9895833,305.4
106,305.3
106.0104167,305.8
106.0208333,305.6
106.03125,305.7
106.0416667,306.2
106.0520833,306
106.0625,305.7
106.0729167,305.7
106.0833333,305.7
106.09375,305.2
106.1041667,306
106.1145833,305.7
106.125,305.6
106.1354167,305.1
106.1458333,305.4
106.15625,305.4
106.1666667,305.7
106.1770833,305.6
106.1875,305.6
106.1979167,305.3
106.2083333,304.9
106.21875,305.5
106.2291667,305.4
106.2395833,305.5
106.25,305.2
106.2604167,304.6
106.2708333,305.6
106.28125,306.3
106.2916667,306.8
106.3020833,306.6
106.3125,306.8
106.3229167,307.9
106.3333333,308.2
106.34375,308.7
106.3541667,310
106.3645833,310.9
106.375,311.9
106.3854167,312.9
106.3958333,312.6
106.40625,310.8
106.4166667,310.8
106.4270833,311.2
106.4375,313.2
106.4479167,315.4
106.4583333,316.3
106.46875,313.2
106.4791667,311.1
106.4895833,311.4
106.5,311.9
106.5104167,312.2
106.5208333,312.9
106.53125,313.3
106.5416667,313
106.5520833,313.8
106.5625,313.9
106.5729167,312.8
106.5833333,313.3
106.59375,313.7
106.6041667,314.5
106.6145833,313.7
106.625,313.6
106.6354167,313.4
106.6458333,313.3
106.65625,315
106.6666667,316
106.6770833,316.1
106.6875,315.7
106.6979167,313.5
106.7083333,313
106.71875,312.3
106.7291667,311.8
106.7395833,311.2
106.75,312.4
106.7604167,310.9
106.7708333,309
106.78125,308.2
106.7916667,308.2
106.8020833,308.3
106.8125,308.2
106.8229167,310
106.8333333,309.6
106.84375,309.3
106.8541667,310
106.8645833,309.4
106.875,309.2
106.8854167,310.4
106.8958333,310.1
106.90625,310.6
106.9166667,310.6
106.9270833,310.1
106.9375,310.1
106.9479167,310.6
106.9583333,310.2
106.96875,309.7
106.9791667,309.5
106.9895833,309.6
107,310.7
107.0104167,307.8
107.0208333,307.7
107.03125,308
107.0416667,308.2
107.0520833,308.5
107.0625,308
107.0729167,307.7
107.0833333,308.2
107.09375,307.8
107.1041667,307.1
107.1145833,307.1
107.125,307
107.1354167,307.3
107.1458333,307.4
107.15625,306.6
107.1666667,305.9
107.1770833,305.9
107.1875,305.4
107.1979167,304.9
107.2083333,304.9
107.21875,304.2
107.2291667,303.4
107.2395833,303.1
107.25,302.1
107.2604167,301.5
107.2708333,301.6
107.28125,301.9
107.2916667,301.2
107.3020833,301.4
107.3125,303.6
107.3229167,304.6
107.3333333,304.9
107.34375,306
107.3541667,306.5
107.3645833,307.1
107.375,307.1
107.3854167,307.5
107.3958333,307.5
107.40625,308
107.4166667,308.4
107.4270833,309
107.4375,309.6
107.4479167,310.9
107.4583333,311.8
107.46875,310.7
107.4791667,310.5
107.4895833,310.1
107.5,310.5
107.5104167,310.5
107.5208333,312.3
107.53125,312.9
107.5416667,310.6
107.5520833,310.7
107.5625,311.2
107.5729167,311.6
107.5833333,311.8
107.59375,312.8
107.6041667,313
107.6145833,313.5
107.625,313.8
107.6354167,314.5
107.6458333,315.3
107.65625,316.3
107.6666667,319.4
107.6770833,315.2
107.6875,316.4
107.6979167,321.6
107.7083333,318.3
107.71875,318
107.7291667,317
107.7395833,313.2
107.75,312.9
107.7604167,312.3
107.7708333,311
107.78125,308.5
107.7916667,306.7
107.8020833,305.9
107.8125,305.7
107.8229167,305.1
107.8333333,305.5
107.84375,306.4
107.8541667,307.8
107.8645833,307.7
107.875,307.6
107.8854167,307.6
107.8958333,307.1
107.90625,306.7
107.9166667,306.4
107.9270833,307.7
107.9375,307.1
107.9479167,307.1
107.9583333,307.8
107.96875,306
107.9791667,304.9
107.9895833,304.5
108,305.5
108.0104167,307.3
108.0208333,307.8
108.03125,307.6
108.0416667,307
108.0520833,305.8
108.0625,305
108.0729167,304.9
108.0833333,304.6
108.09375,304.8
108.1041667,305.1
108.1145833,304.1
108.125,304.1
108.1354167,304.8
108.1458333,305.2
108.15625,305.1
108.1666667,305.4
108.1770833,304.8
108.1875,304.4
108.1979167,304
108.2083333,303.5
108.21875,303.1
108.2291667,303.4
